Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid
Drosophila sechellia	7238	Drosophila sechellia	Tsacas and Bachli, 1981	SPECIES				no	flies	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Drosophilidae	7214	Drosophila	7215	Drosophila sechellia	7238
Anopheles coluzzii	1518534	Anopheles coluzzii	Coetzee & Wilkerson, 2013	SPECIES				no	mosquitos	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Diptera	7147	Culicidae	7157	Anopheles	7164	Anopheles coluzzii	1518534
Helicoverpa zea	7113	Helicoverpa zea	(Boddie, 1850)	SPECIES	Phalaena zea	Boddie, 1850	corn earworm	no	moths	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Lepidoptera	7088	Noctuidae	7100	Helicoverpa	7112	Helicoverpa zea	7113
Scleropages formosus	113540	Scleropages formosus	(Mueller & Schlegel, 1844)	SPECIES	Osteoglossum formosum	Muller & Schlegel, 1840	Asian bonytongue	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Osteoglossiformes	41712	Osteoglossidae	27723	Scleropages	27726	Scleropages formosus	113540
Carcharodon carcharias	13397	Carcharodon carcharias	(Linnaeus, 1758)	SPECIES	Squalus carcharias	Linnaeus, 1758	great white shark	no	sharks & rays	Eukaryota	2759	Metazoa	33208	Chordata	7711	Chondrichthyes	7777	Lamniformes	30496	Alopiidae	7850	Carcharodon	13396	Carcharodon carcharias	13397
Rhinopithecus roxellana	61622	Rhinopithecus roxellana	(Milne-Edwards, 1870)	SPECIES	Semnopithecus roxellana	Milne-Edwards, 1870	golden snub-nosed monkey	no	primates	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Primates	9443	Cercopithecidae	9527	Rhinopithecus	542827	Rhinopithecus roxellana	61622
Perca flavescens	8167	Perca flavescens	(Mitchill, 1814)	SPECIES	Morone flavescens	Mitchell, 1814	yellow perch	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Perciformes	8111	Percidae	8165	Perca	8166	Perca flavescens	8167
Scyliorhinus canicula	7830	Scyliorhinus canicula	(Linnaeus, 1758)	SPECIES			smaller spotted catshark	no	sharks & rays	Eukaryota	2759	Metazoa	33208	Chordata	7711	Chondrichthyes	7777	Carcharhiniformes	30483	Scyliorhinidae	7826	Scyliorhinus	7829	Scyliorhinus canicula	7830
Protopterus annectens	7888	Protopterus annectens	(Owen, 1839)	SPECIES	Lepidosiren annectens	Owen, 1839	West African lungfish	no	lungfishes	Eukaryota	2759	Metazoa	33208	Chordata	7711			Ceratodontiformes	2823314	Protopteridae	7884	Protopterus	7885	Protopterus annectens	7888
Pungitius pungitius	134920	Pungitius pungitius	(Linnaeus, 1758)	SPECIES	Gasterosteus pungitius	Linnaeus, 1758	ninespine stickleback	no	bony fishes	Eukaryota	2759	Metazoa	33208	Chordata	7711	Actinopteri	186623	Perciformes	8111	Gasterosteidae	69291	Pungitius	134919	Pungitius pungitius	134920
Parus major	9157	Parus major	Linnaeus, 1758	SPECIES			Great Tit	no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Passeriformes	9126	Paridae	9153	Parus	9154	Parus major	9157
Octopus bimaculoides	37653	Octopus bimaculoides	Pickford & McConnaughey, 1949	SPECIES			California two-spot octopus	no	cephalopods	Eukaryota	2759	Metazoa	33208	Mollusca	6447	Cephalopoda	6605	Octopoda	6638	Octopodidae	6647	Octopus	6643	Octopus bimaculoides	37653
Cervus elaphus	9860	Cervus elaphus	Linnaeus, 1758	SPECIES			red deer	no	even-toed ungulates & whales	Eukaryota	2759	Metazoa	33208	Chordata	7711	Mammalia	40674	Artiodactyla	91561	Cervidae	9850	Cervus	9859	Cervus elaphus	9860
Schistocerca gregaria	7010	Schistocerca gregaria	(Forskal, 1775)	SPECIES				no	grasshoppers	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Orthoptera	6993	Acrididae	7002	Schistocerca	7008	Schistocerca gregaria	7010
Melospiza melodia melodia	1914991	Melospiza melodia melodia	(Wilson, A, 1810)	SUBSPECIES				no	birds	Eukaryota	2759	Metazoa	33208	Chordata	7711	Aves	8782	Passeriformes	9126	Passerellidae	1729112	Melospiza	44395	Melospiza melodia	44397
Homalodisca vitripennis	197043	Homalodisca vitripennis	(Germar, 1821)	SPECIES			glassy-winged sharpshooter	no	bugs	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hemiptera	7524	Cicadellidae	30102	Homalodisca	139475	Homalodisca vitripennis	197043
